"id","region","year","type","conversion_factor_iip_auto_parts_hcv_icev","conversion_factor_sec_elec_ind","conversion_factor_iip_auto_heat_proc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
2,"DE",2024,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
3,"DE",2027,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
4,"DE",2030,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
5,"DE",2035,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
6,"DE",2040,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
7,"DE",2045,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
8,"DE",2050,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
9,"DE",2060,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
10,"DE",2070,"ind_automobile_hcv_icev_prtp_0",1.0,19.7,23.674,"{}","v1","{'conversion_factor': 'own calculatuon based on 7ANL2022 and 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': '7ANL2022, 7WangEtAl2021', 'capacity_w_abs_new_max': '7AhanchianEtAl2020'}","{'conversion_factor': 'assumed to be constant for all milestone years', 'capacity_w_abs_new_max': 'assumed no new investement, investment are considered in furnace that provides process heat for parts production'}"
